Temperature,Solar radiation,PV power,Day sin,Day cos
5.4925,0.0,0.0,-0.7071067811864371,0.7071067811866579
5.1075,0.0,0.0,-0.5000000000044356,0.8660254037818778
4.885,0.0,0.0,-0.258819045112566,0.9659258262863767
4.7175,0.0,0.0,-1.125533654921696e-12,1.0
4.3825,0.0,0.0,0.2588190450963356,0.9659258262907257
4.215,0.0,0.0,0.4999999999898837,0.8660254037902793
4.165,0.0,0.0,0.7071067811848454,0.7071067811882497
4.165,0.0,0.0,0.8660254037805961,0.5000000000066555
4.06,0.0,0.0,0.9659258262857132,0.258819045115042
4.09,0.0,0.0742999999999999,1.0,3.6888778065162145e-12
3.9249999999999994,0.7325,1.28,0.965925826291389,-0.25881904509385956
3.8625000000000003,32.925000000000004,3.9,0.866025403784285,-0.5000000000002661
4.1875,118.825,5.89,0.7071067811900622,-0.7071067811830328
4.535,162.5,11.1,0.5000000000088753,-0.8660254037793145
5.225,301.75,4.91,0.25881904510346193,-0.9659258262888161
4.9325,138.0,6.08,6.252221958110734e-12,-1.0
4.9775,137.25,3.81,-0.25881904509138354,-0.9659258262920525
4.755,116.3,7.09,-0.49999999999804623,-0.8660254037855667
5.0575,170.5,3.57,-0.7071067811812203,-0.7071067811918748
5.19,109.10000000000001,0.96,-0.8660254037780327,-0.5000000000110953
4.745,35.85,0.248,-0.9659258262881527,-0.2588190451059379
4.5975,13.1775,0.0,-1.0,-8.815566109705253e-12
4.4425,0.0,0.0,-0.9659258262889496,0.2588190451029636
4.405,0.0,0.0,-0.8660254037868483,0.4999999999958263
4.266666666666667,0.0,0.0,-0.7071067811936873,0.7071067811794077
4.2250000000000005,0.0,0.0,-0.5000000000007129,0.866025403784027
4.1625,0.0,0.0,-0.2588190451084139,0.9659258262874892
4.0925,0.0,0.0,-1.1378910261299772e-11,1.0
4.0525,0.0,0.0,0.25881904510048764,0.9659258262896131
4.0025,0.0,0.0,0.4999999999936064,0.86602540378813
3.92,0.0,0.0,0.7071067811775952,0.7071067811954999
3.8475,0.0,0.0,0.8660254037827454,0.5000000000029328
3.8000000000000003,0.0,0.0,0.9659258262868258,0.25881904511088993
3.845,0.0,0.0876,1.0,-6.096608154725619e-13
3.8925,2.195,0.482,0.9659258262902765,-0.2588190450980116
4.11,15.37,1.87,0.8660254037894116,-0.49999999999138645
4.5075,46.1,3.38,0.7071067811870227,-0.7071067811860723
4.97,93.47500000000001,5.52,0.5000000000051528,-0.8660254037814638
4.91,130.5,5.46,0.2588190451133659,-0.9659258262861623
4.8625,173.75,5.26,1.953683336121957e-12,-1.0
4.78,150.75,6.29,-0.2588190450955356,-0.9659258262909399
4.9275,182.25,2.86,-0.49999999998916655,-0.8660254037906934
5.005,110.3,0.904,-0.7071067811842597,-0.7071067811888353
4.8,35.5,0.247,-0.866025403780182,-0.5000000000073727
4.76,12.4325,0.0849,-0.9659258262892652,-0.2588190451017858
4.4075,2.195,0.0222,-1.0,-4.517027487716475e-12
5.2175,0.0,0.0,-0.9659258262916034,0.25881904509305964
5.2275,0.0,0.0,-0.866025403784699,0.4999999999995489
4.585,0.0,0.0,-0.7071067811906478,0.7071067811824472
4.13,0.0,0.0,-0.5000000000095925,0.8660254037789004
4.1775,0.0,0.0,-0.25881904510426185,0.9659258262886018
2.665,0.0,0.0,-7.080371639310995e-12,1.0
2.585,0.0,0.0,0.2588190450905836,0.9659258262922669
2.7274999999999996,0.0,0.0,0.499999999997329,0.8660254037859807
3.1575,0.0,0.0,0.7071067811806346,0.7071067811924604
3.215,0.0,0.0,0.8660254037848947,0.4999999999992102
2.7925,0.0,0.0,0.9659258262879383,0.25881904510673787
2.8525000000000005,0.0,0.142,1.0,9.643715790905514e-12
3.815,5.1325,1.02,0.965925826289164,-0.2588190451021637
4.22,31.45,2.65,0.8660254037872624,-0.4999999999951091
4.4375,91.47500000000001,4.94,0.707106781194273,-0.7071067811788221
4.9575000000000005,156.25,6.77,0.5000000000014301,-0.8660254037836129
5.3625,213.25,7.15,0.25881904510921383,-0.9659258262872749
5.47,217.5,6.29,1.2207059942500032e-11,-1.0
5.5075,194.0,9.52,-0.2588190450996877,-0.9659258262898274
5.7425,230.25,8.32,-0.4999999999928892,-0.8660254037885441
5.828333333333333,238.91666666666666,3.5,-0.7071067811872993,-0.7071067811857957
5.2700000000000005,132.125,1.21,-0.8660254037823313,-0.50000000000365
5.08,55.6,0.217,-0.9659258262866114,-0.25881904511168985
5.0249999999999995,13.527500000000002,0.0,-1.0,-2.1848886572769905e-13
4.7225,0.0,0.0,-0.9659258262904908,0.2588190450972117
3.8825,0.0,0.0,-0.8660254037898257,0.49999999999066924
3.3175000000000003,0.0,0.0,-0.7071067811876083,0.7071067811854868
3.2550000000000003,0.0,0.0,-0.50000000000587,0.8660254037810496
3.6625,0.0,0.0,-0.25881904511416587,0.965925826285948
4.2924999999999995,0.0,0.0,-2.781833017322218e-12,1.0
5.1775,0.0,0.0,0.2588190450947357,0.9659258262911543
5.7225,0.0,0.0,0.49999999998844935,0.8660254037911074
6.085,0.0,0.0,0.7071067811836742,0.7071067811894208
6.29,0.0,0.0,0.866025403779768,0.5000000000080899
6.625,0.0,0.0,0.9659258262890509,0.2588190451025858
6.535,0.0,0.132,1.0,5.345177168916737e-12
6.607499999999999,2.9274999999999998,0.84,0.9659258262918178,-0.25881904509225967
6.9025,27.45,2.89,0.8660254037851132,-0.4999999999988317
