Temperature,Wind speed,Wind power,Day sin,Day cos
4.266666666666667,3.0533333333333332,7.88,-0.7071067811936873,0.7071067811794077
4.2250000000000005,2.9025,6.68,-0.5000000000007129,0.866025403784027
4.1625,2.6999999999999997,6.18,-0.2588190451084139,0.9659258262874892
4.0925,2.7275000000000005,5.52,-1.1378910261299772e-11,1.0
4.0525,2.61,6.03,0.25881904510048764,0.9659258262896131
4.0025,2.6799999999999997,3.51,0.4999999999936064,0.86602540378813
3.92,2.4525,1.77,0.7071067811775952,0.7071067811954999
3.8475,2.4875,0.845,0.8660254037827454,0.5000000000029328
3.8000000000000003,1.9024999999999999,1.64,0.9659258262868258,0.25881904511088993
3.845,2.04,4.37,1.0,-6.096608154725619e-13
3.8925,2.5975,10.0,0.9659258262902765,-0.2588190450980116
4.11,3.5124999999999997,21.4,0.8660254037894116,-0.49999999999138645
4.5075,4.515,24.4,0.7071067811870227,-0.7071067811860723
4.97,5.48,29.6,0.5000000000051528,-0.8660254037814638
4.91,5.7975,30.2,0.2588190451133659,-0.9659258262861623
4.8625,6.305,22.3,1.953683336121957e-12,-1.0
4.78,5.9225,16.7,-0.2588190450955356,-0.9659258262909399
4.9275,5.5025,12.2,-0.49999999998916655,-0.8660254037906934
5.005,4.3475,12.3,-0.7071067811842597,-0.7071067811888353
4.8,3.43,23.6,-0.866025403780182,-0.5000000000073727
4.76,4.34,33.1,-0.9659258262892652,-0.2588190451017858
4.4075,6.3999999999999995,36.0,-1.0,-4.517027487716475e-12
5.2175,7.829999999999999,36.1,-0.9659258262916034,0.25881904509305964
5.2275,8.9,36.1,-0.866025403784699,0.4999999999995489
4.585,10.227500000000001,36.1,-0.7071067811906478,0.7071067811824472
4.13,8.957500000000001,36.1,-0.5000000000095925,0.8660254037789004
4.1775,7.697500000000001,36.2,-0.25881904510426185,0.9659258262886018
2.665,8.115,36.4,-7.080371639310995e-12,1.0
2.585,7.114999999999999,34.1,0.2588190450905836,0.9659258262922669
2.7274999999999996,6.29,28.3,0.499999999997329,0.8660254037859807
3.1575,5.1525,30.6,0.7071067811806346,0.7071067811924604
3.215,5.364999999999999,30.1,0.8660254037848947,0.4999999999992102
2.7925,5.1450000000000005,24.6,0.9659258262879383,0.25881904510673787
2.8525000000000005,5.245,32.5,1.0,9.643715790905514e-12
3.815,5.5,30.1,0.965925826289164,-0.2588190451021637
4.22,5.98,32.2,0.8660254037872624,-0.4999999999951091
